"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD83",2.88486537961294e-154,1.35376321754668,0.329,0.043,4.53096956522009e-150
"ARHGAP22",1.85391019534079e-151,1.51776972225759,0.497,0.101,2.91175135280224e-147
"RCSD1",5.29295010372187e-147,0.705535000571671,0.129,0.005,8.31310743290558e-143
"IL1RAP",5.48420743089584e-141,1.26785637258587,0.357,0.055,8.613496190965e-137
"CD53",8.42787614977624e-141,0.735642910213813,0.168,0.011,1.32368222808386e-136
"LHFPL2",3.35649264805298e-139,1.35185306759697,0.434,0.084,5.27170735303201e-135
"FAM105A",1.18704648165183e-138,0.61104235810583,0.142,0.007,1.86437520408236e-134
"SPTLC2",7.23469356399769e-138,1.62438161061437,0.626,0.183,1.13628097116148e-133
"FMN1",5.01006349504296e-136,1.34127520926805,0.383,0.066,7.86880572531448e-132
"RIN3",4.56926505464525e-134,1.25409322071592,0.409,0.076,7.17648769482584e-130
"MSR1",2.17116945972166e-130,1.01420991766793,0.191,0.016,3.41003875343884e-126
"LRRK1",1.10923193346209e-127,0.934336553403282,0.209,0.02,1.74215967469557e-123
"CD74",6.25077863550432e-127,0.954937599089783,0.245,0.028,9.81747292492309e-123
